Part,Chapter,Word,WordTranslation,Example,ExampleTranslation
1,10,regret,"vt后悔;遗憾,抱歉&n.遗憾","To my regret, I didn't have money with me when I saw the coat at half price","令我遗憾的是,大衣半价但我却没带钱"
1,10,annoy,"vt.使恼怒,使心烦",The noise from my neighbor's TV annoys me,邻居家电视的嘈杂声令我恼怒
1,10,bother,vt.&vi.(使)心烦,Don't bother about what Sam told you,别因为山姆跟你说的话而烦心
1,10,offend,"vt.触怒,冒犯",Carol took offense at my comments about her,我对卡萝所做的评语令她很不悦
1,10,hit the ceiling,"(气到撞上天花板,比喻)非常生气",Mom hit the ceiling when she found out I broke her vase,老妈发现我打破她的花瓶时非常生气
1,10,be overwhelmed with,"被……击溃,难以承受……",Helena was overwhelmed with anger when she heard the news,海伦娜听到这个消息时她气到难以承受
1,10,get/ be hot under the collar,气得脸红脖子粗,Sophia got hot under the collar when her brother broke her doll,"苏菲亚的哥哥弄坏她的洋娃娃时,她气得脸红脖子粗"
1,10,disturb,vt.&vi.打扰,Don' t disturb Dad while he is at work,老爸工作时不要打扰他
1,10,yell ,vi.&n喊叫,James let out a yell of frustration and then walked out of?the roorn,詹斯丧地大吼一声后走到了房外
1,10,outrage,vt.使愤怒,People were outraged by the now policy,民众对于新政策感到愤怒
1,10,piss ,vt惹生气&vi&n.小便,John's rude attitude really pisses me off.,约翰无理的态度直的让我很生气
1,10,irritate ,vt.使激怒,The noise Brad made when eating irritated me,布菜德吃饭的声音激怒了我
1,10,provoke ,vt.激怒,Sam tried to provoke Rick into a fight,山姆试着激怒瑞克来引发争执
1,10,resent ,vt.怨恨(后接名词或动名词作宾语）,John resents getting up early=John hates getting up early= John hates to get up early,约翰厌恶早起
1,10,disgust ,"vt.使人厌恶,使人恶心&n厌恶",Your evil behavior disgusts me,你邪恶的行为使我感到恶心
1,10,be tired of,厌倦,"Jim was tired of his job, so he quit","吉姆厌倦了他的工作,因此就辞职了"
1,10,be fod up with,受够了…,I'm fed up with all the gossip about me,我受够了所有关于我的八卦话题
1,10,afraid ,adj.害怕的,I'm afraid to talk to the school principal,我很怕跟校长说话
1,10,tremble ,ⅵ.颤抖,tremble with fear,害怕得直发抖
1,10,shiver,vi&n发抖,Dennis shivered with cold while waiting for the bus in the snow,丹尼斯在雪里等公交车时冷得发抖
1,10,quiver,vi&n颤抖,Nick's bottom lip quivered with fear.,尼克的下嘴唇因为恐惧而颤抖着
1,10,shudder,vi.&n.发抖,"When Tom saw the horrible sight, a shudder swept over him","汤姆看到这个恐怖的景象,他全身一震"
1,10,for fear of..,因害怕,Samantha never drives for fear of an accident,萨曼莎因害怕意外而从不开车
1,10,in fear,提心吊胆地,The boy sat in fear during the earthquake,地震时这个男孩子忧心地坐着
1,10,terrify ,"vt惊吓,使恐惧",The horror movie terrified the children,这部恐怖电影吓坏了孩子们
1,10,give sb the creeps,使某人毛骨悚然,The strange voice coming from the well gave me the creeps,从井里传来的怪声让我毛骨悚然
1,10,break out in a cold sweat,紧张到让人直冒冷汗,I broke out in a cold sweat just thinking about the speech contest,想到这场演讲比赛我就紧张得直冒冷汗
1,10,anxious ,adj.焦虑的,Many college students are anxious about their future,许多大学生对前途感到焦虑不安
1,10,startle,vt使惊吓,The witch's horrible voice startled me,女巫可怕的声音吓了我一大跳
1,10,shock,vt&n震惊,The news that Peter would leave our school came as a shock.,"彼得要离开我们学校,这突如其来的消息令人震惊"
1,10,confuse ,v使困惑;混淆,Mary saw the sign and got confused,玛丽看到这标识就搞不清楚了
1,10,perplex,vt使困惑,This question has perplexed me for a week.,这个问题让我困惑一周了
1,10,mix up..,搞混;迷惑…,I got mixed up about who was to be invited to the party,我已经搞混究竟该请谁来参加聚会
1,10,pride,n.骄傲;自尊心,Mary's comments hurt David's pride,玛丽的评语伤了戴维的自尊心
1,10,scorn,vt.&n.不屑,The man looked at the child with scorn,这个男人用不屑的态度看着这孩子
1,10,despise,vt.鄙视,Tim despises everyone around him,蒂姆鄙视身边所有的人
1,10,skeptical,adj.怀疑的,Many experts are skeptical about the professor's findings,许多专家对这位教授的研究结果表示质疑
1,10,look down on sb,看不起某人,The rich tend to look down on the poor.,富人容易瞧不起穷人
1,10,tease,vt.揶输,I got angry when I found out John was teasing me,"我发现约翰在揶揄我时,我生气了"
1,10,mock,"vt.嘲弄,嘲笑",The kids mocked Freddy because of the clothes he wore,这些孩子嘲笑佛莱迪的穿着
1,10,laugh at sb,嘲笑某人,I always remember the people who have laughed at me,我永远记得那些嘲笑过我的人
1,10,insult,vt&[mst]n侮辱,Your question is an insult to my intelligence,你的问题对我的智力是种侮辱
1,10,envy,vt&n羡慕,Peter's new cell phone is the envy of everyone in the office,彼得的新手机羡煞办公室内所有人
1,10,jealous,adj.嫉妒的,The woman was jealous of Joanne's happy marriage,这女人嫉妒乔安的幸福婚姻
